CompoundID,Gene Target,pIC50
CM-1997973,IKKE,5.631
CM-1997973,JAK2,8.152
CM-1997973,JAK3,7.71
CM-1997973,Lck,5.128
CM-1997973,LTK,5.767
CM-1997973,MAP3K10,5.257
CM-1997973,MAP4K2,5.712
CM-1997973,MAP4K4,5.329
CM-1997973,MEK1,5.316
CM-1997973,Nek2,5.286
CM-1997973,PAK4KD,5.358
CM-1997973,PDGFRB,5.569
CM-1997973,Pim1,5.253
CM-1997973,PKA,6.307
CM-1997973,PKCtheta,6.189
CM-1997973,PKG1A,5.398
CM-1997973,Plk3,5.432
CM-1997973,Prkcn,5.559
CM-1997973,RET,5.381
CM-1997973,Rsk2,5.866
CM-1997973,TAOK2,5.648
CM-1997973,TBK1,5.391
CM-1997973,TNK2,5.413
CM-1997973,TrkC,5.333
CM-1997973,Wee1,5.301
CM-1997973,Zipk,5.447
CM-1997973,MAP2K3,5.394
CM-1999762,Abl,5.5
CM-1999762,ACVR1,5.33
CM-1999762,Akt1,5.39
CM-1999762,ALK,5.32
CM-1999762,Aurora1,5.26
CM-1999762,Aurora2,5.3
CM-1999762,BTK,5.23
CM-1999762,CAMK1D,5.68
CM-1999762,CAMK2A,5.44
CM-1999762,CAMKK2,5.3
CM-1999762,CDK8/Cyclin C,5.3
CM-1999762,CDK9/Cyclin K,5.31
CM-1999762,Ck1alpha1,5.34
CM-1999762,CLK2,5.33
CM-1999762,CSF1R,6.28
CM-1999762,DDR1,5.28
CM-1999762,Dyrk1A,5.29
CM-1999762,EGFR,5.35
CM-1999762,Erk2,5.27
CM-1999762,FAK,5.27
CM-1999762,Flt1,5.27
CM-1999762,Fyn,5.25
CM-1999762,GRK5,5.25
CM-1999762,Gsk3b,5.22
CM-1999762,IGF1R,5.43
CM-1999762,IKKE,5.33
CM-1999762,JAK2,7.86
CM-1999762,JAK3,7.23
CM-1999762,Lck,5.13
CM-1999762,LTK,5.37
CM-1999762,MAP3K10,5.26
CM-1999762,MAP4K2,5.63
CM-1999762,MAP4K4,5.33
CM-1999762,MEK1,5.32
CM-1999762,Nek2,5.29
CM-1999762,PAK4KD,5.36
CM-1999762,PDGFRB,5.57
CM-1999762,Pim1,5.25
CM-1999762,PKA,5.31
CM-1999762,PKCtheta,5.41
CM-1999762,PKG1A,5.4
CM-1999762,Plk3,5.43
CM-1999762,Prkcn,5.56
CM-1999762,RET,5.34
CM-1999762,Rsk2,5.33
CM-1999762,TAOK2,5.4
CM-1999762,TBK1,5.39
CM-1999762,TNK2,5.41
CM-1999762,TrkC,5.33
CM-1999762,Wee1,5.3
CM-1999762,Zipk,5.24
CM-1999762,MAP2K3,5.39
CM-2000213,Abl,5.502
CM-2000213,ACVR1,5.357
CM-2000213,Akt1,5.39
CM-2000213,ALK,5.321
CM-2000213,Aurora1,5.83
CM-2000213,Aurora2,5.873
CM-2000213,BTK,5.228
CM-2000213,CAMK1D,5.261
CM-2000213,CAMK2A,5.47
CM-2000213,CAMKK2,5.334
CM-2000213,CDK8/Cyclin C,6.309
CM-2000213,CDK9/Cyclin K,6.321
CM-2000213,Ck1alpha1,5.338
CM-2000213,CLK2,5.333
CM-2000213,CSF1R,8.137
CM-2000213,DDR1,5.283
CM-2000213,Dyrk1A,5.291
CM-2000213,EGFR,5.348
CM-2000213,Erk2,5.273
CM-2000213,FAK,5.74
CM-2000213,Flt1,5.886
CM-2000213,Fyn,5.866
CM-2000213,GRK5,5.611
CM-2000213,Gsk3b,5.583
CM-2000213,IKKE,5.349
CM-2000213,JAK2,7.442
CM-2000213,JAK3,7.408
CM-2000213,JNK1,5.292
CM-2000213,Lck,5.259
CM-2000213,LTK,5.788
CM-2000213,MAP3K10,5.585
CM-2000213,MAP4K2,6.42
CM-2000213,MAP4K4,5.329
CM-2000213,MEK1,6.706
CM-2000213,Nek2,5.286
CM-2000213,PAK4KD,5.358
CM-2000213,PDGFRB,5.569
CM-2000213,Pim1,5.253
CM-2000213,PKA,5.311
CM-2000213,PKCtheta,6.678
CM-2000213,Plk3,5.432
CM-2000213,Prkcn,6.848
CM-2000213,RET,6.625
CM-2000213,Rsk2,6.412
CM-2000213,TAOK2,5.532
CM-2000213,TBK1,5.391
CM-2000213,TNK2,6.14
CM-2000213,TrkC,6.059
CM-2000213,Wee1,5.301
CM-2000213,Zipk,5.243
CM-2000213,MAP2K3,5.812
CM-2000213,SGK1,6.367
CM-2000616,Abl,5.5
CM-2000616,ACVR1,5.33
CM-2000616,Akt1,5.39
CM-2000616,ALK,5.32
CM-2000616,Aurora1,5.41
CM-2000616,Aurora2,5.3
CM-2000616,BTK,5.23
CM-2000616,CAMK1D,6.12
CM-2000616,CAMK2A,5.44
CM-2000616,CAMKK2,5.3
CM-2000616,CDK8/Cyclin C,5.3
CM-2000616,CDK9/Cyclin K,5.31
CM-2000616,Ck1alpha1,5.34
CM-2000616,CLK2,5.33
CM-2000616,CSF1R,6.66
CM-2000616,DDR1,5.28
CM-2000616,Dyrk1A,5.29
CM-2000616,EGFR,5.35
CM-2000616,Erk2,5.27
CM-2000616,FAK,5.27
CM-2000616,Flt1,6.09
CM-2000616,Fyn,5.25
CM-2000616,GRK5,5.25
CM-2000616,Gsk3b,5.22
CM-2000616,IGF1R,5.43
CM-2000616,IKKE,5.56
CM-2000616,JAK2,7.44
CM-2000616,JAK3,6.28
CM-2000616,JNK1,5.29
CM-2000616,Lck,5.13
CM-2000616,LTK,5.37
CM-2000616,MAP3K10,5.83
CM-2000616,MAP4K2,5.63
CM-2000616,MAP4K4,5.33
CM-2000616,MEK1,6.44
CM-2000616,Nek2,5.29
CM-2000616,PAK4KD,5.58
CM-2000616,PDGFRB,5.57
CM-2000616,Pim1,5.25
CM-2000616,PKA,5.33
CM-2000616,PKCtheta,5.41
CM-2000616,PKG1A,5.4
CM-2000616,Plk3,5.43
CM-2000616,Prkcn,5.84
CM-2000616,RET,6.56
CM-2000616,Rsk2,5.45
CM-2000616,TAOK2,5.46
CM-2000616,TBK1,5.69
CM-2000616,TNK2,5.44
CM-2000616,TrkC,5.33
CM-2000616,Wee1,5.3
CM-2000616,Zipk,6.49
CM-2000616,MAP2K3,5.39
CM-2000616,Rock1,6.11
CM-2000616,SGK1,5.93
CM-2000616,STK16,6.05
CM-2002201,Abl,5.5
CM-2002201,ACVR1,5.33
CM-2002201,Akt1,5.39
CM-2002201,ALK,5.32
CM-2002201,Aurora1,5.26
CM-2002201,Aurora2,5.3
CM-2002201,BTK,5.23
CM-2002201,CAMK1D,6.92
CM-2002201,CAMK2A,5.44
CM-2002201,CAMKK2,5.3
CM-2002201,CDK8/Cyclin C,5.3
CM-2002201,CDK9/Cyclin K,5.31
CM-2002201,Ck1alpha1,5.34
CM-2002201,CLK2,5.33
CM-2002201,CSF1R,5.3
CM-2002201,DDR1,5.28
CM-2002201,Dyrk1A,5.29
CM-2002201,EGFR,5.35
CM-2002201,Erk2,5.27
CM-2002201,FAK,5.27
CM-2002201,Flt1,5.27
CM-2002201,Fyn,5.25
CM-2002201,GRK5,6.95
CM-2002201,Gsk3b,5.22
CM-2002201,IGF1R,5.43
CM-2002201,IKKE,5.33
CM-2002201,JAK3,7.93
CM-2002201,JNK1,8.07
CM-2002201,LTK,5.37
CM-2002201,MAP3K10,6.13
CM-2002201,MAP4K2,5.93
CM-2002201,MAP4K4,5.33
CM-2002201,MEK1,5.32
CM-2002201,Nek2,5.29
CM-2002201,PAK4KD,5.36
CM-2002201,PDGFRB,5.57
CM-2002201,Pim1,5.25
CM-2002201,PKA,5.91
CM-2002201,PKCtheta,5.58
CM-2002201,PKG1A,5.4
CM-2002201,Plk3,6.85
CM-2002201,Rsk2,5.33
CM-2002201,TAOK2,5.65
CM-2002201,TBK1,5.39
CM-2002201,TNK2,5.74
CM-2002201,TrkC,5.33
CM-2002201,Wee1,5.3
CM-2002201,MAP2K3,5.39
CM-2002201,Rock1,5.34
CM-2002201,SGK1,5.77
CM-2002201,STK16,5.34
CM-2004122,Abl,5.502
CM-2004122,ACVR1,5.329
CM-2004122,Akt1,5.39
CM-2004122,ALK,5.321
CM-2004122,Aurora1,5.259
CM-2004122,Aurora2,5.303
CM-2004122,BTK,5.228
CM-2004122,CAMK1D,5.381
CM-2004122,CAMK2A,5.44
CM-2004122,CAMKK2,5.305
CM-2004122,CDK8/Cyclin C,5.301
CM-2004122,CDK9/Cyclin K,5.312
CM-2004122,Ck1alpha1,5.338
CM-2004122,CLK2,5.333
CM-2004122,CSF1R,5.296
CM-2004122,DDR1,5.283
CM-2004122,Dyrk1A,5.291
CM-2004122,EGFR,5.348
CM-2004122,Erk2,5.273
CM-2004122,FAK,5.271
CM-2004122,Flt1,5.272
CM-2004122,Fyn,5.253
CM-2004122,GRK5,5.321
CM-2004122,Gsk3b,5.224
CM-2004122,IGF1R,5.429
CM-2004122,IKKE,5.325
CM-2004122,JAK2,7.368
CM-2004122,JAK3,7.114
CM-2004122,Lck,5.128
CM-2004122,LTK,5.369
CM-2004122,MAP3K10,5.257
CM-2004122,MAP4K2,5.625
CM-2004122,MAP4K4,5.329
CM-2004122,MEK1,5.316
CM-2004122,Nek2,5.286
CM-2004122,PAK4KD,5.358
CM-2004122,PDGFRB,5.569
CM-2004122,Pim1,5.253
CM-2004122,PKA,5.311
CM-2004122,PKCtheta,5.413
CM-2004122,PKG1A,5.398
CM-2004122,Plk3,5.432
CM-2004122,Prkcn,5.559
CM-2004122,RET,5.337
CM-2004122,Rsk2,5.333
CM-2004122,TAOK2,5.398
CM-2004122,TBK1,5.391
CM-2004122,TNK2,5.413
CM-2004122,TrkC,5.333
CM-2004122,Wee1,5.301
CM-2004122,Zipk,5.243
CM-2004122,MAP2K3,5.394
CM-2004409,Abl,5.5
CM-2004409,ACVR1,5.33
CM-2004409,Akt1,5.39
CM-2004409,ALK,5.32
CM-2004409,Aurora1,5.26
CM-2004409,Aurora2,5.3
CM-2004409,BTK,5.23
CM-2004409,CAMK1D,5.49
CM-2004409,CAMK2A,5.44
CM-2004409,CAMKK2,5.3
CM-2004409,CDK8/Cyclin C,5.58
CM-2004409,CDK9/Cyclin K,5.31
CM-2004409,Ck1alpha1,5.34
CM-2004409,CLK2,5.33
CM-2004409,CSF1R,7.21
CM-2004409,DDR1,5.28
CM-2004409,Dyrk1A,5.29
CM-2004409,EGFR,5.35
CM-2004409,Erk2,5.27
CM-2004409,FAK,5.27
CM-2004409,Flt1,6.27
CM-2004409,Fyn,5.25
CM-2004409,GRK5,5.25
CM-2004409,Gsk3b,5.22
CM-2004409,IGF1R,5.43
CM-2004409,IKKE,5.33
CM-2004409,JAK2,6.59
CM-2004409,JAK3,6.11
CM-2004409,JNK1,5.29
CM-2004409,Lck,5.13
CM-2004409,LTK,5.37
CM-2004409,MAP3K10,5.48
CM-2004409,MAP4K2,6
CM-2004409,MAP4K4,5.33
CM-2004409,MEK1,5.55
CM-2004409,Nek2,5.29
CM-2004409,PAK4KD,5.36
CM-2004409,PDGFRB,6.2
CM-2004409,Pim1,5.25
CM-2004409,PKA,5.31
CM-2004409,PKCtheta,5.53
CM-2004409,PKG1A,5.4
CM-2004409,Plk3,5.43
CM-2004409,Prkcn,5.83
CM-2004409,RET,5.48
CM-2004409,Rsk2,6.15
CM-2004409,TAOK2,5.4
CM-2004409,TBK1,5.84
CM-2004409,TNK2,5.41
CM-2004409,TrkC,5.33
CM-2004409,Wee1,5.3
CM-2004409,Zipk,5.24
CM-2004409,MAP2K3,5.39
CM-2004409,Rock1,5.36
CM-2004409,SGK1,5.29
CM-2004409,STK16,5.4
CM-2006735,Abl,5.5
CM-2006735,ACVR1,5.33
CM-2006735,Akt1,5.39
CM-2006735,Aurora1,5.26
CM-2006735,BTK,5.23
CM-2006735,CAMK1D,5.99
CM-2006735,CAMK2A,6.45
CM-2006735,CAMKK2,5.3
CM-2006735,CDK8/Cyclin C,5.3
CM-2006735,CDK9/Cyclin K,5.31
CM-2006735,Ck1alpha1,5.34
CM-2006735,CLK2,5.33
CM-2006735,CSF1R,5.3
CM-2006735,DDR1,5.28
CM-2006735,Dyrk1A,5.29
CM-2006735,EGFR,5.35
CM-2006735,Erk2,5.27
CM-2006735,FAK,5.27
CM-2006735,Flt1,5.27
CM-2006735,Fyn,5.25
CM-2006735,GRK5,5.71
CM-2006735,Gsk3b,5.22
CM-2006735,IGF1R,5.43
CM-2006735,IKKE,5.5
CM-2006735,JAK2,8.14
CM-2006735,JAK3,8.07
CM-2006735,JNK1,5.29
CM-2006735,Lck,5.13
CM-2006735,LTK,5.37
CM-2006735,MAP3K10,5.26
CM-2006735,MAP4K2,5.63
CM-2006735,MAP4K4,5.33
CM-2006735,Nek2,5.29
CM-2006735,PAK4KD,5.36
CM-2006735,PDGFRB,5.57
CM-2006735,Pim1,5.25
CM-2006735,PKA,5.31
CM-2006735,PKCtheta,5.75
CM-2006735,PKG1A,5.4
CM-2006735,Plk3,5.43
CM-2006735,Prkcn,5.56
CM-2006735,RET,5.34
CM-2006735,Rsk2,5.33
CM-2006735,TAOK2,5.4
CM-2006735,TBK1,5.39
CM-2006735,TNK2,5.41
CM-2006735,TrkC,5.33
CM-2006735,Wee1,5.3
CM-2006735,Zipk,5.28
CM-2006735,MAP2K3,5.39
CM-2006735,Rock1,5.8
CM-2006735,STK16,5.34
CM-2006735,Abl,5.502
CM-2006735,ACVR1,5.329
CM-2006735,Akt1,5.39
CM-2006735,Aurora1,5.259
CM-2006735,BTK,5.228
CM-2006735,CAMK1D,5.991
CM-2006735,CAMK2A,6.452
CM-2006735,CAMKK2,5.305
CM-2006735,CDK8/Cyclin C,5.301
CM-2006735,CDK9/Cyclin K,5.312
CM-2006735,Ck1alpha1,5.338
CM-2006735,CLK2,5.333
CM-2006735,CSF1R,5.296
CM-2006735,DDR1,5.283
CM-2006735,Dyrk1A,5.291
CM-2006735,EGFR,5.348
CM-2006735,Erk2,5.273
CM-2006735,FAK,5.271
CM-2006735,Flt1,5.272
CM-2006735,Fyn,5.253
CM-2006735,GRK5,5.714
CM-2006735,Gsk3b,5.224
CM-2006735,IGF1R,5.429
CM-2006735,IKKE,5.5
CM-2006735,JAK2,8.137
CM-2006735,JAK3,8.068
CM-2006735,JNK1,5.292
CM-2006735,Lck,5.128
CM-2006735,LTK,5.369
CM-2006735,MAP3K10,5.257
CM-2006735,MAP4K2,5.625
CM-2006735,MAP4K4,5.329
CM-2006735,Nek2,5.286
CM-2006735,PAK4KD,5.358
CM-2006735,PDGFRB,5.569
CM-2006735,Pim1,5.253
CM-2006735,PKA,5.311
CM-2006735,PKCtheta,5.754
CM-2006735,PKG1A,5.398
CM-2006735,Plk3,5.432
CM-2006735,Prkcn,5.559
CM-2006735,RET,5.337
CM-2006735,Rsk2,5.333
CM-2006735,TAOK2,5.398
CM-2006735,TBK1,5.391
CM-2006735,TNK2,5.413
CM-2006735,TrkC,5.333
CM-2006735,Wee1,5.301
CM-2006735,Zipk,5.28
CM-2006735,MAP2K3,5.394
CM-2006735,Rock1,5.801
CM-2006735,STK16,5.337
CM-2008658,Abl,5.5
CM-2008658,ACVR1,5.33
CM-2008658,Akt1,5.39
CM-2008658,ALK,5.32
CM-2008658,Aurora1,5.26
CM-2008658,Aurora2,5.3
CM-2008658,BTK,5.23
CM-2008658,CAMK1D,6.63
CM-2008658,CAMK2A,5.44
CM-2008658,CAMKK2,5.3
CM-2008658,CDK8/Cyclin C,5.3
CM-2008658,CDK9/Cyclin K,5.31
CM-2008658,Ck1alpha1,5.34
CM-2008658,CLK2,5.33
CM-2008658,CSF1R,5.3
CM-2008658,DDR1,5.28
CM-2008658,Dyrk1A,5.29
CM-2008658,EGFR,5.35
CM-2008658,Erk2,5.27
CM-2008658,FAK,5.27
CM-2008658,Flt1,5.27
CM-2008658,Fyn,5.25
CM-2008658,GRK5,5.33
CM-2008658,Gsk3b,5.22
CM-2008658,IGF1R,5.43
CM-2008658,IKKE,5.49
CM-2008658,JAK2,8.02
CM-2008658,JAK3,7.16
CM-2008658,JNK1,5.29
CM-2008658,Lck,5.13
CM-2008658,LTK,5.37
CM-2008658,MAP3K10,5.26
CM-2008658,MAP4K2,5.63
CM-2008658,MAP4K4,5.33
CM-2008658,MEK1,5.4
CM-2008658,Nek2,5.29
CM-2008658,PAK4KD,5.36
CM-2008658,PDGFRB,5.57
CM-2008658,Pim1,5.25
CM-2008658,PKA,5.33
CM-2008658,PKCtheta,5.74
CM-2008658,PKG1A,5.53
CM-2008658,Plk3,5.43
CM-2008658,Prkcn,5.56
CM-2008658,RET,5.36
CM-2008658,Rsk2,5.33
CM-2008658,TAOK2,5.79
CM-2008658,TBK1,5.69
CM-2008658,TNK2,5.41
CM-2008658,TrkC,5.33
CM-2008658,Wee1,5.3
CM-2008658,Zipk,5.31
CM-2016649,Abl,5.5
CM-2016649,ACVR1,5.33
CM-2016649,Akt1,5.39
CM-2016649,ALK,5.32
CM-2016649,Aurora1,5.37
CM-2016649,Aurora2,5.59
CM-2016649,BTK,5.23
CM-2016649,CAMK1D,5.86
CM-2016649,CAMK2A,5.75
CM-2016649,CAMKK2,5.3
CM-2016649,CDK8/Cyclin C,5.42
CM-2016649,CDK9/Cyclin K,5.31
CM-2016649,Ck1alpha1,5.36
CM-2016649,CLK2,5.59
CM-2016649,CSF1R,5.74
CM-2016649,DDR1,5.28
CM-2016649,Dyrk1A,5.29
CM-2016649,EGFR,5.35
CM-2016649,Erk2,5.27
CM-2016649,FAK,5.32
CM-2016649,Flt1,5.75
CM-2016649,Fyn,5.25
CM-2016649,GRK5,6.32
CM-2016649,Gsk3b,5.26
CM-2016649,IGF1R,5.43
CM-2016649,IKKE,5.66
CM-2016649,JAK2,6.77
CM-2016649,JAK3,6.93
CM-2016649,JNK1,5.29
CM-2016649,Lck,5.15
CM-2016649,LTK,5.37
CM-2016649,MAP3K10,5.73
CM-2016649,MAP4K2,5.72
CM-2016649,MAP4K4,5.33
CM-2016649,MEK1,6.03
CM-2016649,Nek2,5.29
CM-2016649,PAK4KD,5.62
CM-2016649,PDGFRB,5.83
CM-2016649,Pim1,5.25
CM-2016649,PKA,5.31
CM-2016649,PKCtheta,5.72
CM-2016649,PKG1A,5.4
CM-2016649,Plk3,5.43
CM-2016649,Prkcn,5.81
CM-2016649,RET,5.4
CM-2016649,Rsk2,5.73
CM-2016649,TAOK2,5.4
CM-2016649,TBK1,5.71
CM-2016649,TNK2,5.7
CM-2016649,TrkC,5.33
CM-2016649,Wee1,5.3
CM-2016649,Zipk,5.34
CM-2016649,BRAF,5.6
CM-2016649,MAP2K3,5.39
CM-2016649,Rock1,5.42
CM-2016649,STK16,5.34
CM-2017542,Abl,5.55
CM-2017542,ACVR1,5.33
CM-2017542,Akt1,5.39
CM-2017542,Aurora1,6.55
CM-2017542,Aurora2,8.65
CM-2017542,BTK,5.23
CM-2017542,CAMK1D,6.98
CM-2017542,CAMK2A,6.5
CM-2017542,CAMKK2,5.37
CM-2017542,CDK8/Cyclin C,5.37
CM-2017542,CDK9/Cyclin K,5.31
CM-2017542,Ck1alpha1,5.34
CM-2017542,CLK2,5.33
CM-2017542,CSF1R,8.02
CM-2017542,DDR1,5.28
CM-2017542,Dyrk1A,5.29
CM-2017542,EGFR,5.35
CM-2017542,Erk2,5.27
CM-2017542,FAK,5.67
CM-2017542,Flt1,5.27
CM-2017542,Fyn,5.25
CM-2017542,GRK5,7.22
CM-2017542,Gsk3b,5.22
CM-2017542,IGF1R,5.43
CM-2017542,IKKE,5.59
CM-2017542,JAK2,9.08
CM-2017542,JAK3,8.26
CM-2017542,JNK1,5.29
CM-2017542,Lck,5.13
CM-2017542,LTK,7.04
CM-2017542,MAP3K10,5.44
CM-2017542,MAP4K2,6.06
CM-2017542,MAP4K4,5.51
CM-2017542,Nek2,5.29
CM-2017542,PAK4KD,5.44
CM-2017542,PDGFRB,5.57
CM-2017542,Pim1,5.25
CM-2017542,PKA,5.45
CM-2017542,PKCtheta,6.38
CM-2017542,PKG1A,5.54
CM-2017542,Plk3,5.43
CM-2017542,Prkcn,5.98
CM-2017542,RET,6.77
CM-2017542,Rsk2,5.71
CM-2017542,TAOK2,6.08
CM-2017542,TBK1,5.39
CM-2017542,TNK2,6.61
CM-2017542,TrkC,5.46
CM-2017542,Wee1,5.59
CM-2017542,Zipk,6.05
CM-2017542,MAP2K3,5.39
CM-2017542,Rock1,6.64
CM-2017542,STK16,5.71
CM-2018309,Abl,5.5
CM-2018309,ACVR1,5.33
CM-2018309,Akt1,5.39
CM-2018309,ALK,5.32
CM-2018309,Aurora1,5.26
CM-2018309,Aurora2,6.73
CM-2018309,BTK,5.23
CM-2018309,CAMK1D,6.21
CM-2018309,CAMK2A,6.66
CM-2018309,CAMKK2,5.3
CM-2018309,CDK8/Cyclin C,5.3
CM-2018309,CDK9/Cyclin K,5.31
CM-2018309,Ck1alpha1,5.34
CM-2018309,CLK2,5.33
CM-2018309,CSF1R,5.75
CM-2018309,DDR1,5.28
CM-2018309,Dyrk1A,5.29
CM-2018309,EGFR,5.35
CM-2018309,Erk2,5.27
CM-2018309,FAK,5.27
CM-2018309,Flt1,5.27
CM-2018309,Fyn,5.25
CM-2018309,GRK5,6.67
CM-2018309,Gsk3b,5.46
CM-2018309,IGF1R,5.43
CM-2018309,IKKE,5.82
CM-2018309,JAK2,8.11
CM-2018309,JAK3,7.16
CM-2018309,JNK1,5.29
CM-2018309,Lck,5.13
CM-2018309,LTK,5.37
CM-2018309,MAP3K10,5.34
CM-2018309,MAP4K2,6.15
CM-2018309,MAP4K4,5.33
CM-2018309,MEK1,6.74
CM-2018309,Nek2,5.29
CM-2018309,PAK4KD,5.62
CM-2018309,PDGFRB,6.99
CM-2018309,Pim1,5.25
CM-2018309,PKA,5.31
CM-2018309,PKCtheta,6.55
CM-2018309,PKG1A,5.4
CM-2018309,Plk3,5.43
CM-2018309,Prkcn,6.56
CM-2018309,RET,6.31
CM-2018309,Rsk2,6.86
CM-2018309,TAOK2,5.43
CM-2018309,TBK1,5.69
CM-2018309,TNK2,6.29
CM-2018309,TrkC,5.33
CM-2018309,Wee1,5.3
CM-2018309,Zipk,5.29
CM-2018309,BRAF,7.48
CM-2018309,MAP2K3,5.39
CM-2018309,Rock1,6.38
CM-2018309,STK16,5.34
CM-2018310,Abl,5.5
CM-2018310,ACVR1,5.33
CM-2018310,Akt1,5.39
CM-2018310,ALK,5.32
CM-2018310,Aurora1,5.26
CM-2018310,Aurora2,5.3
CM-2018310,BTK,5.23
CM-2018310,CAMK1D,5.86
CM-2018310,CAMK2A,5.44
CM-2018310,CAMKK2,5.3
CM-2018310,CDK8/Cyclin C,5.3
CM-2018310,CDK9/Cyclin K,5.31
CM-2018310,Ck1alpha1,5.34
CM-2018310,CLK2,5.33
CM-2018310,CSF1R,6.23
CM-2018310,DDR1,5.28
CM-2018310,Dyrk1A,5.29
CM-2018310,EGFR,5.35
CM-2018310,Erk2,5.27
CM-2018310,FAK,5.27
CM-2018310,Flt1,5.27
CM-2018310,Fyn,5.25
CM-2018310,GRK5,6.66
CM-2018310,Gsk3b,5.22
CM-2018310,IGF1R,5.43
CM-2018310,IKKE,5.55
CM-2018310,JAK2,7.45
CM-2018310,JAK3,6.5
CM-2018310,JNK1,5.29
CM-2018310,Lck,5.13
CM-2018310,LTK,5.37
CM-2018310,MAP3K10,5.26
CM-2018310,MAP4K2,5.63
CM-2018310,MAP4K4,5.33
CM-2018310,MEK1,5.32
CM-2018310,Nek2,5.29
CM-2018310,PAK4KD,5.41
CM-2018310,PDGFRB,5.57
CM-2018310,Pim1,5.25
CM-2018310,PKA,5.31
CM-2018310,PKCtheta,5.59
CM-2018310,PKG1A,5.4
CM-2018310,Plk3,5.43
CM-2018310,Prkcn,5.8
CM-2018310,RET,6.76
CM-2018310,Rsk2,5.35
CM-2018310,TAOK2,5.4
CM-2018310,TBK1,6.06
CM-2018310,TNK2,5.41
CM-2018310,TrkC,5.33
CM-2018310,Wee1,5.3
CM-2018310,Zipk,5.9
CM-2018310,BRAF,7.07
CM-2018310,MAP2K3,5.39
CM-2018310,Rock1,5.72
CM-2018310,STK16,5.53
CM-2019344,Abl,5.77
CM-2019344,ACVR1,5.33
CM-2019344,Akt1,5.39
CM-2019344,ALK,5.39
CM-2019344,Aurora1,6.01
CM-2019344,Aurora2,5.75
CM-2019344,BTK,5.23
CM-2019344,CAMK1D,6.82
CM-2019344,CAMK2A,7.14
CM-2019344,CAMKK2,5.3
CM-2019344,CDK8/Cyclin C,6.38
CM-2019344,CDK9/Cyclin K,5.31
CM-2019344,Ck1alpha1,5.34
CM-2019344,CLK2,6.02
CM-2019344,CSF1R,6.3
CM-2019344,DDR1,5.28
CM-2019344,Dyrk1A,5.29
CM-2019344,EGFR,5.35
CM-2019344,Erk2,5.27
CM-2019344,FAK,5.6
CM-2019344,Flt1,5.97
CM-2019344,Fyn,5.25
CM-2019344,GRK5,6.35
CM-2019344,Gsk3b,5.22
CM-2019344,IGF1R,5.43
CM-2019344,IKKE,5.78
CM-2019344,JAK2,7.35
CM-2019344,JAK3,6.46
CM-2019344,JNK1,5.29
CM-2019344,LTK,5.37
CM-2019344,MAP3K10,5.35
CM-2019344,MAP4K2,6.58
CM-2019344,MAP4K4,5.53
CM-2019344,MEK1,7.47
CM-2019344,Nek2,5.29
CM-2019344,PAK4KD,5.36
CM-2019344,PDGFRB,5.57
CM-2019344,Pim1,5.25
CM-2019344,PKA,5.71
CM-2019344,PKCtheta,6.3
CM-2019344,PKG1A,5.72
CM-2019344,Plk3,5.43
CM-2019344,Prkcn,6.66
CM-2019344,RET,6.6
CM-2019344,Rsk2,6.36
CM-2019344,TAOK2,5.4
CM-2019344,TBK1,5.57
CM-2019344,TNK2,5.41
CM-2019344,TrkC,5.33
CM-2019344,Wee1,5.3
CM-2019344,Zipk,6.71
CM-2019344,MAP2K3,5.39
CM-2019344,Rock1,6.49
CM-2019344,STK16,6.4
CM-2020484,Abl,5.5
CM-2020484,ACVR1,5.3
CM-2020484,Akt1,5.39
CM-2020484,ALK,5.3
CM-2020484,Aurora1,5.74
CM-2020484,Aurora2,5.3
CM-2020484,BTK,5.3
CM-2020484,CAMK1D,8.98
CM-2020484,CAMK2A,6.2
CM-2020484,CAMKK2,5.3
CM-2020484,CDK8/Cyclin C,6.75
CM-2020484,CLK2,5.33
CM-2020484,CSF1R,7
CM-2020484,DDR1,5.3
CM-2020484,Dyrk1A,5.29
CM-2020484,EGFR,5.3
CM-2020484,Erk2,5.27
CM-2020484,FAK,5.3
CM-2020484,Flt1,5.67
CM-2020484,Fyn,5.25
CM-2020484,GRK5,6.87
CM-2020484,Gsk3b,5.22
CM-2020484,IGF1R,5.43
CM-2020484,IKKE,6.01
CM-2020484,JAK2,8.51
CM-2020484,JAK3,7.44
CM-2020484,JNK1,5.3
CM-2020484,Lck,5.13
CM-2020484,LTK,5.79
CM-2020484,MAP3K10,5.47
CM-2020484,MAP4K2,5.3
CM-2020484,MEK1,6.53
CM-2020484,Nek2,5.3
CM-2020484,PAK4KD,5.36
CM-2020484,PDGFRB,5.3
CM-2020484,Pim1,5.3
CM-2020484,PKA,5.31
CM-2020484,PKCtheta,5.86
CM-2020484,PKG1A,5.4
CM-2020484,Plk3,5.3
CM-2020484,Prkcn,5.31
CM-2020484,RET,6.22
CM-2020484,Rsk2,5.32
CM-2020484,TAOK2,5.3
CM-2020484,TBK1,5.51
CM-2020484,TNK2,5.69
CM-2020484,TrkC,5.33
CM-2020484,Wee1,5.3
CM-2020484,Zipk,7.58
CM-2020484,MAP2K3,5.39
CM-2020484,STK16,6.32
CM-2023185,ACVR1,7.23
CM-2023185,Akt1,5.39
CM-2023185,ALK,6.22
CM-2023185,Aurora1,7.29
CM-2023185,Aurora2,7.3
CM-2023185,BTK,5.23
