CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-2038065,JAK1 EC50(uM),3,,322.29,62.11,0.366,0.3659,1,6,3,0.5,Class C,47.9,275,,,
CM-2020028,JAK1 EC50(uM),2.92,,351.33,58.45,0.62,0.6115,1,6,3,0.5,Class C,53,605,,,4.26
CM-2063200,JAK1 EC50(uM),0.0595,,333.38,49.22,1.657,1.5601,1,5,3,0.52941,Class C,40,57,,,17.2
CM-2038058,JAK1 EC50(uM),3,,322.29,62.11,0.366,0.3659,1,6,3,0.5,Class C,48.5,324,,,2.5
CM-1337495,JAK1 EC50(uM),0.884,,242.28,55.21,0.743,0.7433,1,5,3,0.38462,Class C,20.8,26.9,,,7.6
CM-2083497,JAK1 EC50(uM),0.28,,272.3,75.96,0.456,0.4561,2,6,3,0.42857,Class C,21.9,503,,,3.41
CM-1991231,JAK1 EC50(uM),0.279,367.45,367.45,72.76,-0.483,-0.6015,1,8,3,0.52632,Class C,10,,,,7.7
CM-2062359,JAK1 EC50(uM),3,327.38,327.38,87.06,1.305,1.2646,1,7,2,0.58824,Class C,39.7,608,,,3.32
CM-2055444,JAK1 EC50(uM),0.707,255.28,255.28,79.09,-0.622,-0.6215,2,6,3,0.46154,Class C,4.74,553,,,3.51
CM-2010511,JAK1 EC50(uM),2.93,255.28,255.28,68.1,0.185,0.1853,1,6,3,0.46154,Class C,50.6,574,,,2.5
CM-2145475,JAK1 EC50(uM),,309.37,309.37,87.9,2.268,2.2302,3,6,3,0.23529,Class C,,,,,
CM-2142837,JAK1 EC50(uM),0.0545,359.42,359.42,49.74,2.013,-0.4404,1,5,3,0.57895,Class C,36.4,358,,,27.4
CM-2046240,JAK1 EC50(uM),0.15,353.39,353.39,48.05,3.07,3.0236,1,5,2,0.64706,Class C,22.8,137,,,7.83
CM-2111018,JAK1 EC50(uM),0.32,345.39,345.39,49.22,1.552,0.3297,1,5,3,0.55556,Class C,21.1,473,,,53.4
CM-2012131,JAK1 EC50(uM),0.59,359.3,359.3,49.22,1.151,1.1506,1,5,3,0.46667,Class C,46,197,,,14.3
CM-2027941,JAK1 EC50(uM),0.376,331.36,331.36,49.22,1.846,1.8448,1,5,3,0.52941,Class C,50.5,323,,,11.1
CM-2121007,JAK1 EC50(uM),1.01,391.43,391.43,49.22,2.731,0.8011,1,5,3,0.6,Class C,8.01,503,,,12.9
CM-2142263,JAK1 EC50(uM),0.0143,345.39,345.39,49.22,1.104,-0.8795,1,5,3,0.55556,Class C,18.7,588,,,31
CM-2144407,JAK1 EC50(uM),3,,358.44,55.34,2.499,2.4992,1,5,4,0.36364,Class C,0.555,639,,,29.8
CM-2142257,JAK1 EC50(uM),0.0226,,391.43,49.22,2.693,0.3897,1,5,3,0.6,Class C,11.5,42,,,2.5
CM-1985901,JAK1 EC50(uM),0.0249,,345.37,75.52,0.821,0.8212,1,7,3,0.47059,Class C,45.2,538,,,5.36
CM-2134001,JAK1 EC50(uM),0.123,,293.32,68.1,0.25,0.2497,1,6,3,0.4375,Class C,43.5,475,,,22
CM-2083477,JAK1 EC50(uM),3,,336.34,79.04,1.002,0.9739,3,6,2,0.5,Class C,22.3,515,,,5.37
CM-2061744,JAK1 EC50(uM),3,,337.44,80.12,1.058,1.0411,1,7,2,0.6,Class C,60.3,489,,,30
CM-1307324,JAK1 EC50(uM),0.387,,301.36,58.01,1.135,-0.6929,2,5,3,0.5,Class C,23.4,33.5,,,6.71
CM-2120961,JAK1 EC50(uM),0.347,,294.35,55.73,2.015,2.0155,1,5,3,0.41176,Class C,57.2,19,,,2.5
CM-2043605,JAK1 EC50(uM),3,,353.39,48.05,3.226,3.18,1,5,2,0.64706,Class C,59.4,187,,,83.8
CM-1317896,JAK1 EC50(uM),0.242,,270.33,66.21,0.888,0.8876,2,5,3,0.46667,Class C,52.8,160,,,
CM-2064331,JAK1 EC50(uM),3.98,,257.29,86.62,0.834,0.773,2,6,2,0.46154,Class C,42.7,547,,,9.19
CM-2104713,JAK1 EC50(uM),0.059,,284.36,55.21,1.374,1.3732,1,5,3,0.5,Class C,47.1,482,,,48.3
CM-1307325,JAK1 EC50(uM),1.03,,301.36,58.01,1.135,-0.6929,2,5,3,0.5,Class C,3.3,30.2,,,13.6
CM-2055289,JAK1 EC50(uM),3,,326.39,64.58,0.509,0.5086,1,6,3,0.55556,Class C,39.2,562,,,5.85
CM-2043606,JAK1 EC50(uM),3,,353.39,48.05,3.226,3.18,1,5,2,0.64706,Class C,61.4,51,,,68.8
CM-2064128,JAK1 EC50(uM),0.0468,,373.44,49.22,1.931,-0.7273,1,5,3,0.6,Class C,14.7,230,,,6.69
CM-2012120,JAK1 EC50(uM),2.09,,402.32,78.31,0.268,0.268,2,7,3,0.4375,Class C,13.1,528,,,6.77
CM-1314069,JAK1 EC50(uM),0.129,,256.3,66.21,0.608,0.607,2,5,3,0.42857,Class C,40.4,,,,2.5
CM-2145480,JAK1 EC50(uM),3,,308.33,63.27,2.293,2.2499,1,6,3,0.29412,Class C,,,,,
CM-2044463,JAK1 EC50(uM),3,,288.34,63.27,2.404,2.4025,1,6,2,0.6,Class C,73.4,520,,,386
CM-2145472,JAK1 EC50(uM),3,,343.45,65.12,2.619,1.6134,1,6,3,0.35294,Class C,,,,,
CM-2016398,JAK1 EC50(uM),1.51,,315.39,49.22,1.518,0.1227,1,5,3,0.52941,Class C,24.3,,,,18
CM-2078648,JAK1 EC50(uM),0.0347,,371.45,69.44,1.241,0.9204,2,6,3,0.6,Class C,33.6,47,,,17.9
CM-2110962,JAK1 EC50(uM),0.06,,335.33,49.22,1.199,1.1984,1,5,3,0.5,Class C,40.5,532,,,17.9
CM-2142801,JAK1 EC50(uM),0.223,,409.42,49.74,2.872,0.7371,1,5,3,0.6,Class C,18.1,34,,,24.5
CM-2110953,JAK1 EC50(uM),0.448,,356.42,73.67,1.445,1.4442,1,7,3,0.57895,Class C,30.1,533,,,7.62
CM-2142800,JAK1 EC50(uM),3,,268.31,66.72,0.733,0.7328,2,5,3,0.46667,Class C,14.1,590,,,28.9
CM-2060868,JAK1 EC50(uM),0.327,,325.41,58.45,0.675,-1.2089,1,6,3,0.55556,Class C,,512,,,2.5
CM-2004641,JAK1 EC50(uM),0.295,,365.4,49.22,2.326,0.5359,1,5,3,0.55556,Class C,11.2,400,,,31.8
CM-2032983,JAK1 EC50(uM),0.0226,268.31,268.31,66.21,0.352,0.3507,2,5,3,0.46667,Class C,58.7,260,,,12.1
CM-2071037,JAK1 EC50(uM),0.251,298.38,298.38,55.21,2.13,2.1294,1,5,3,0.52941,Class C,,,,,
CM-2060869,JAK1 EC50(uM),0.346,325.41,325.41,58.45,0.675,-1.2089,1,6,3,0.55556,Class C,38.4,469,,,4.55
CM-2078647,JAK1 EC50(uM),0.0191,371.45,371.45,69.44,1.241,0.9204,2,6,3,0.6,Class C,,27,,,16.7
CM-2110954,JAK1 EC50(uM),0.574,356.42,356.42,73.67,1.445,1.4442,1,7,3,0.57895,Class C,37.1,770,,,7.26
CM-2078649,JAK1 EC50(uM),0.0697,353.46,353.46,69.44,1.397,0.8163,2,6,3,0.6,Class C,24.3,441,,,27.9
CM-2027986,JAK1 EC50(uM),0.0134,359.42,359.42,49.22,2.448,2.4469,1,5,3,0.57895,Class C,52.8,94,,,58.1
CM-2004642,JAK1 EC50(uM),0.724,365.4,365.4,49.22,2.326,0.5359,1,5,3,0.55556,Class C,16.5,274,,,75.7
CM-2053324,JAK1 EC50(uM),0.141,345.39,345.39,49.22,1.439,0.2571,1,5,3,0.55556,Class C,,,,,
CM-2055288,JAK1 EC50(uM),0.0369,298.38,298.38,55.21,1.973,1.972,1,5,3,0.52941,Class C,29.2,356,,,20.4
CM-2010451,JAK1 EC50(uM),0.659,227.27,227.27,49.22,0.641,0.6351,1,5,3,0.33333,Class C,73.2,535,,,5.19
CM-2062681,JAK1 EC50(uM),0.0563,395.4,395.4,49.22,2.118,0.2535,1,5,3,0.57895,Class C,27.8,75,,,13.2
CM-2078797,JAK1 EC50(uM),0.569,284.36,284.36,55.21,1.608,1.6069,1,5,3,0.5,Class C,47.4,322,,,24.4
CM-2116822,JAK1 EC50(uM),0.0268,264.33,264.33,45.98,1.761,1.7606,1,4,3,0.375,Class C,44.5,92,,,16.1
